Test,1kb (x1),1000kb (x1000),10kb (x10),100kb (x100),100000kb (x100000),10000kb (x10000)
boon,237640.35,261310.99999999997,264560.51,277542.7,104299.99999999999,255370.0
dsljson,1340569.442,1391822.0,1273845.87,1408234.0,1201500.0,1247090.0
dsljson_reflection,940948.714,1094049.0,1019891.35,1091989.5,986400.0000000001,1054890.0
fastjson,494133.912,235073.0,301652.58999999997,296775.39999999997,71500.0,224750.0
flatbuffers,662701.833,484076.0,572548.55,537116.5,359800.0,485170.00000000006
flexjson,185.089,7806.0,575.72,2714.0,42600.0,22830.0
genson,398327.992,613897.0,562977.3200000001,623626.8,547200.0,554760.0
gson,326297.302,358166.0,340320.10000000003,363183.6,329700.0,351280.0
jackson,761428.611,774948.0,806346.51,899809.9,725700.0,777340.0
jackson_afterburner,830487.12,899096.0,888147.65,895877.0,784000.0,822129.9999999999
jodd,229696.986,226103.0,247424.93,246760.19999999998,138100.0,223780.0
johnzon,271238.267,333418.0,373533.28,331350.7,307700.0,322660.0
jsoniter,1011279.026,1290008.0,1138956.99,1283338.0999999999,1044400.0000000001,1105320.0
jsonsmart,367628.754,425411.0,378248.37,401251.1,423800.00000000006,382110.0
jvm,287520.041,286486.0,305900.75,298377.10000000003,110000.00000000001,205390.00000000003
kryo,1772329.98,1241538.0,1423179.66,1507406.2,1028900.0,1040860.0
logansquare,867574.858,932416.0,912543.68,929166.4,761600.0,792350.0
moshi,378929.332,404940.0,395854.3,400759.4,380000.0,379870.0
protobuf,2676361.078,2153105.0,1824196.35,1954157.2,1727300.0,1814620.0
yasson,281604.775,464494.0,422360.65,449078.89999999997,424000.0,434150.0
circe,262029.408,222006.0,248228.41,258004.0,32800.0,179590.0
